member_name,experiment_name,policy,lr,gamma,batch_size,exploration_fraction,exploration_initial_eps,exploration_final_eps,total_timesteps,mean_reward,std_reward,timestamp
Dave,dave_exp1,CnnPolicy,0.0001,0.99,32,0.1,1.0,0.01,300000,-21.0,0.0,2026-03-19T00:18:00.014965
Dave,dave_exp2,CnnPolicy,5e-05,0.99,64,0.1,1.0,0.01,300000,-16.2,2.749545416973504,2026-03-19T02:07:03.979811
Dave,dave_exp3,CnnPolicy,0.0005,0.99,32,0.05,1.0,0.05,300000,-21.0,0.0,2026-03-19T07:30:52.149034
Dave,dave_exp4,CnnPolicy,0.0001,0.95,64,0.15,1.0,0.01,300000,-13.7,3.257299494980466,2026-03-19T08:47:36.349853
Dave,dave_exp5,CnnPolicy,0.0002,0.99,32,0.2,1.0,0.01,300000,-21.0,0.0,2026-03-19T09:50:51.776227
Dave,dave_exp6,CnnPolicy,0.0001,0.9,128,0.1,1.0,0.05,1000000,14.2,1.32664991614216,2026-03-19T20:36:01.284400
Dave,dave_exp7,CnnPolicy,5e-05,0.99,32,0.3,1.0,0.001,1000000,-1.5,6.328506932918696,2026-03-20T01:38:39.026737
Dave,dave_exp8,CnnPolicy,0.001,0.95,64,0.1,1.0,0.01,1000000,-21.0,0.0,2026-03-20T07:19:27.113054
Dave,dave_exp9,CnnPolicy,0.0001,0.999,32,0.05,1.0,0.001,1000000,17.4,3.1368774282716245,2026-03-20T17:43:21.656860
Dave,dave_exp10,MlpPolicy,0.0001,0.99,32,0.1,1.0,0.01,1000000,-21.0,0.0,2026-03-21T02:31:26.137799
